id,name,est_diameter_min,est_diameter_max,relative_velocity,miss_distance,orbiting_body,sentry_object,absolute_magnitude,hazardous
2162635,162635 (2000 SS164),1.1982708007,2.6794149658,13569.2492241812,54839744.08284605,Earth,False,16.73,False
2277475,277475 (2005 WK4),0.2658,0.5943468684,73588.7266634981,61438126.52395093,Earth,False,20.0,True
2512244,512244 (2015 YE18),0.7220295577,1.6145071727,114258.6921290512,49798724.94045679,Earth,False,17.83,False
3596030,(2012 BV13),0.096506147,0.2157943048,24764.3031380016,25434972.72075825,Earth,False,22.2,False
3667127,(2014 GE35),0.2550086879,0.5702167609,42737.7337647264,46275567.00130072,Earth,False,20.09,True
54138696,(2021 GY23),0.0363542322,0.0812905344,34297.5877783029,40585691.22792288,Earth,False,24.32,False
54189957,(2021 PY40),0.1716148941,0.3837425691,27529.4723069673,29069121.41864897,Earth,False,20.95,False
54230078,(2021 XD6),0.0053278866,0.0119135167,57544.4700827352,55115019.25807114,Earth,False,28.49,False
2088213,88213 (2001 AF2),0.3503926411,0.7835017643,56625.2101223615,69035980.03881611,Earth,False,19.4,False
3766065,(2016 YM),0.1058168859,0.2366137501,48425.8403287922,38355261.56076106,Earth,False,22.0,False
54049873,(2020 OT6),0.2526707542,0.5649889822,58430.6971996129,38337496.948336646,Earth,False,20.11,True
54099949,(2020 XW4),0.1529519353,0.3420109247,64393.9283164601,71983105.30586366,Earth,False,21.2,False
54104555,(2021 AW1),0.0699125232,0.1563291544,38018.6152911655,52093021.60346941,Earth,False,22.9,False
54235433,(2022 AM),0.0061454682,0.0137416847,24323.0461447781,24617585.592055667,Earth,False,28.18,False
2198752,198752 (2005 EA60),0.2901048414,0.648694146,10402.0021780274,60789296.02771025,Earth,False,19.81,False
3069224,(2000 YT134),0.4836764882,1.0815335068,74576.9307604201,59880809.89977076,Earth,False,18.7,False
3739154,(2016 AF2),0.0069912523,0.0156329154,75486.0908535512,71387057.94968764,Earth,False,27.9,False
3795026,(2017 YU3),0.04411182,0.0986370281,70770.591144329,27717237.017649755,Earth,False,23.9,False
3797456,(2018 AN2),0.0291443905,0.0651688382,42111.044076208,39421282.189457454,Earth,False,24.8,False
3825138,(2018 LC3),0.4619074603,1.0328564805,104810.0937203257,18832837.961159527,Earth,False,18.8,False
3835974,(2018 VK1),0.0097848681,0.0218796303,49452.2405777563,57667088.95334734,Earth,False,27.17,False
3842597,(2019 KN2),0.0101054342,0.0225964377,27462.3780123238,38913011.95197583,Earth,False,27.1,False
54053939,(2020 RD4),0.0030517923,0.0068240151,47644.44846305,52948852.88647757,Earth,False,29.7,False
2506491,506491 (2003 UW29),0.2016299194,0.4508582062,115899.1804982056,15101017.143061124,Earth,False,20.6,True
3329370,(2006 GB1),0.0506471459,0.1132504611,33803.1665613625,70394867.7294613,Earth,False,23.6,False
3623582,(2013 AU27),0.4411182,0.9863702813,69871.9773106199,58438716.66670029,Earth,False,18.9,False
3768024,(2017 CQ),0.1756123185,0.3926810818,71487.9408268469,21123317.709318034,Earth,False,20.9,False
3781344,(2017 RV),0.1108038821,0.2477650126,48655.3051323529,32797747.230158422,Earth,False,21.9,True
54076362,(2020 UF5),0.0319561887,0.0714562102,17906.4910924356,66979305.81433465,Earth,False,24.6,False
54105263,(2021 AZ4),0.1363185559,0.3048175575,109370.3761722582,68231700.54084484,Earth,False,21.45,False
54232321,(2022 AB),0.0506471459,0.1132504611,67866.9270709547,67973444.05314478,Earth,False,23.6,False
2007480,7480 Norwan (1994 PC),1.0293308202,2.3016536853,24889.1853045411,74035215.4339695,Earth,False,17.06,False
2020425,20425 (1998 VD35),0.2210828104,0.4943561926,40625.2889513582,14891803.160525508,Earth,False,20.4,True
2337345,337345 (2001 KO20),0.2016299194,0.4508582062,35852.7091885332,41530278.35873013,Earth,False,20.6,False
3608427,(2012 RO1),0.3051792326,0.6824015094,50429.0751880435,68493001.73415387,Earth,False,19.7,False
3654336,(2013 XS3),0.2231284644,0.4989304142,53877.1691510381,72103117.57910845,Earth,False,20.38,False
54016465,(2020 GF1),0.0146067964,0.0326617897,18985.1919130411,46329518.186574526,Earth,False,26.3,False
54235525,(2022 AP1),0.0056565936,0.0126485278,62986.2883263234,31121553.675848275,Earth,False,28.36,False
2002100,2100 Ra-Shalom (1978 RA),1.5085335612,3.3731835891,52325.4536501944,68178439.2710279,Earth,False,16.23,False
2003362,3362 Khufu (1984 QA),0.5815070396,1.30028927,37279.21093304,32530625.542762592,Earth,False,18.3,True
2004688,4688 (1980 WF),0.3377185972,0.7551617405,25692.767376194,25448430.02155091,Earth,False,19.48,False
2252558,252558 (2001 WT1),0.2424124811,0.5420507863,39304.7215089966,70760700.6887492,Earth,False,20.2,False
2452334,452334 (2001 LB),0.1677084622,0.3750075218,40893.8242062985,40940821.43199843,Earth,False,21.0,False
